timestamp,gpu_index,gpu_uuid,utilization_pct,memory_used_mib,memory_total_mib,temperature_c,power_w,sm_clock_mhz,mem_clock_mhz,pstate
2026-07-10T02:20:43,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 45, 4693, 10240, 69, 214.37, 1950, 9251, P2
2026-07-10T02:20:44,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.58, 210, 405, P8
2026-07-10T02:20:44,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 55, 4693, 10240, 74, 263.94, 1950, 9251, P2
2026-07-10T02:20:45,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 7.11, 210, 405, P8
2026-07-10T02:20:45,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 52, 4693, 10240, 74, 267.85, 1950, 9251, P2
2026-07-10T02:20:46,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.77, 210, 405, P8
2026-07-10T02:20:46,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 62, 4693, 10240, 74, 265.61, 1950, 9251, P2
2026-07-10T02:20:47,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.72, 210, 405, P8
2026-07-10T02:20:47,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 62, 4693, 10240, 74, 269.21, 1950, 9251, P2
2026-07-10T02:20:49,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.93, 210, 405, P8
2026-07-10T02:20:49,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 61, 4693, 10240, 75, 269.66, 1950, 9251, P2
